FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.353;0;0.000;0.000;0.000;1;0.000;0.000;0.000;2;0.000;0.000;0.000;3;0.000;0.000;0.000;4;0.000;0.000;0.000;5;0.000;0.000;0.000;6;0.000;0.000;0.000;7;0.000;0.000;0.000;8;0.000;0.000;0.000;9;0.000;0.000;0.000;10;0.000;0.000;0.000;10;0.000;0.000;0.000;12;0.000;0.000;0.000;13;0.000;0.000;0.000;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;0.000;0.000;0.000;17;0.000;0.000;0.000;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame2;0.406;0;0.436;0.530;2.807;1;0.443;0.587;2.861;2;0.437;0.923;2.873;3;0.432;1.156;2.873;4;0.287;0.809;2.869;5;0.255;0.559;2.832;6;0.239;0.355;2.757;7;0.228;0.298;2.728;8;0.573;0.801;2.823;9;0.616;0.550;2.791;10;0.634;0.343;2.729;10;0.634;0.343;2.729;12;0.372;0.469;2.800;13;0.364;0.135;2.870;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.787;17;0.562;0.153;2.833;18;0.603;-0.100;2.892;19;0.603;-0.170;2.831
Frame3;0.431;0;0.436;0.530;2.807;1;0.443;0.587;2.861;2;0.437;0.923;2.873;3;0.432;1.156;2.873;4;0.287;0.809;2.869;5;0.255;0.559;2.832;6;0.239;0.355;2.757;7;0.228;0.298;2.728;8;0.573;0.801;2.823;9;0.616;0.550;2.791;10;0.634;0.343;2.729;10;0.634;0.343;2.729;12;0.372;0.469;2.800;13;0.364;0.135;2.870;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.787;17;0.562;0.153;2.833;18;0.603;-0.100;2.892;19;0.603;-0.170;2.831
Frame4;0.438;0;0.436;0.530;2.806;1;0.443;0.587;2.860;2;0.437;0.923;2.872;3;0.432;1.156;2.872;4;0.287;0.809;2.868;5;0.255;0.559;2.832;6;0.239;0.355;2.756;7;0.228;0.310;2.730;8;0.573;0.801;2.823;9;0.616;0.550;2.790;10;0.635;0.343;2.728;10;0.635;0.343;2.728;12;0.372;0.469;2.800;13;0.364;0.136;2.870;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.787;17;0.564;0.157;2.830;18;0.603;-0.100;2.892;19;0.603;-0.170;2.832
Frame5;0.445;0;0.436;0.530;2.806;1;0.443;0.587;2.860;2;0.437;0.923;2.872;3;0.432;1.156;2.872;4;0.287;0.809;2.868;5;0.255;0.559;2.832;6;0.239;0.355;2.756;7;0.228;0.310;2.730;8;0.573;0.801;2.823;9;0.616;0.550;2.790;10;0.635;0.343;2.728;10;0.635;0.343;2.728;12;0.372;0.469;2.800;13;0.364;0.136;2.870;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.787;17;0.564;0.157;2.830;18;0.603;-0.100;2.892;19;0.603;-0.170;2.832
Frame6;0.452;0;0.436;0.530;2.806;1;0.443;0.587;2.860;2;0.437;0.923;2.872;3;0.432;1.156;2.872;4;0.287;0.809;2.868;5;0.255;0.559;2.832;6;0.239;0.355;2.756;7;0.228;0.310;2.730;8;0.573;0.801;2.823;9;0.616;0.550;2.790;10;0.635;0.343;2.728;10;0.635;0.343;2.728;12;0.372;0.469;2.800;13;0.364;0.136;2.870;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.787;17;0.564;0.157;2.830;18;0.603;-0.100;2.892;19;0.603;-0.170;2.832
Frame7;0.459;0;0.436;0.530;2.806;1;0.443;0.587;2.860;2;0.437;0.923;2.872;3;0.432;1.156;2.872;4;0.287;0.809;2.868;5;0.255;0.559;2.832;6;0.239;0.355;2.756;7;0.228;0.310;2.730;8;0.573;0.801;2.823;9;0.616;0.550;2.790;10;0.635;0.343;2.728;10;0.635;0.343;2.728;12;0.372;0.469;2.800;13;0.364;0.136;2.870;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.787;17;0.564;0.157;2.830;18;0.603;-0.100;2.892;19;0.603;-0.170;2.832
Frame8;0.466;0;0.436;0.530;2.806;1;0.443;0.587;2.860;2;0.437;0.923;2.872;3;0.432;1.156;2.872;4;0.287;0.809;2.868;5;0.255;0.559;2.832;6;0.239;0.355;2.756;7;0.228;0.310;2.730;8;0.573;0.801;2.823;9;0.616;0.550;2.790;10;0.635;0.343;2.728;10;0.635;0.343;2.728;12;0.372;0.469;2.800;13;0.364;0.136;2.870;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.787;17;0.564;0.157;2.830;18;0.603;-0.100;2.892;19;0.603;-0.170;2.832
Frame9;0.473;0;0.436;0.530;2.806;1;0.443;0.587;2.860;2;0.437;0.922;2.871;3;0.432;1.156;2.871;4;0.287;0.809;2.868;5;0.255;0.559;2.832;6;0.239;0.355;2.756;7;0.229;0.318;2.732;8;0.573;0.801;2.822;9;0.616;0.549;2.790;10;0.635;0.342;2.728;10;0.635;0.342;2.728;12;0.372;0.469;2.800;13;0.363;0.136;2.869;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.786;17;0.564;0.159;2.829;18;0.603;-0.100;2.892;19;0.602;-0.171;2.832
Frame10;0.480;0;0.436;0.530;2.806;1;0.443;0.587;2.860;2;0.437;0.922;2.871;3;0.432;1.156;2.871;4;0.287;0.809;2.868;5;0.255;0.559;2.832;6;0.239;0.355;2.756;7;0.229;0.318;2.732;8;0.573;0.801;2.822;9;0.616;0.549;2.790;10;0.635;0.342;2.728;10;0.635;0.342;2.728;12;0.372;0.469;2.800;13;0.363;0.136;2.869;14;0.349;-0.114;2.924;15;0.330;-0.179;2.860;16;0.500;0.465;2.786;17;0.564;0.159;2.829;18;0.603;-0.100;2.892;19;0.602;-0.171;2.832
