FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.353;0;0.000;0.000;0.000;1;0.000;0.000;0.000;2;0.000;0.000;0.000;3;0.000;0.000;0.000;4;0.000;0.000;0.000;5;0.000;0.000;0.000;6;0.000;0.000;0.000;7;0.000;0.000;0.000;8;0.000;0.000;0.000;9;0.000;0.000;0.000;10;0.000;0.000;0.000;10;0.000;0.000;0.000;12;0.000;0.000;0.000;13;0.000;0.000;0.000;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;0.000;0.000;0.000;17;0.000;0.000;0.000;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame2;0.411;0;0.468;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.938;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.662;0.554;2.830;10;0.692;0.344;2.757;10;0.692;0.344;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.104;2.897;15;0.358;-0.179;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame3;0.437;0;0.468;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.344;2.757;10;0.692;0.344;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame4;0.444;0;0.468;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.344;2.757;10;0.692;0.344;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame5;0.451;0;0.467;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.343;2.757;10;0.692;0.343;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame6;0.458;0;0.467;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.343;2.757;10;0.692;0.343;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame7;0.465;0;0.467;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.343;2.757;10;0.692;0.343;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame8;0.472;0;0.467;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.343;2.757;10;0.692;0.343;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame9;0.479;0;0.467;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.164;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.343;2.757;10;0.692;0.343;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.665;-0.193;2.885
Frame10;0.486;0;0.467;0.536;2.818;1;0.470;0.594;2.872;2;0.462;0.937;2.881;3;0.449;1.163;2.906;4;0.312;0.809;2.882;5;0.282;0.558;2.833;6;0.256;0.351;2.746;7;0.243;0.292;2.719;8;0.606;0.814;2.859;9;0.663;0.554;2.830;10;0.692;0.343;2.757;10;0.692;0.343;2.757;12;0.402;0.470;2.807;13;0.385;0.144;2.846;14;0.371;-0.103;2.896;15;0.358;-0.178;2.877;16;0.534;0.472;2.805;17;0.612;0.136;2.851;18;0.669;-0.117;2.905;19;0.664;-0.193;2.885
