FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.353;0;0.000;0.000;0.000;1;0.000;0.000;0.000;2;0.000;0.000;0.000;3;0.000;0.000;0.000;4;0.000;0.000;0.000;5;0.000;0.000;0.000;6;0.000;0.000;0.000;7;0.000;0.000;0.000;8;0.000;0.000;0.000;9;0.000;0.000;0.000;10;0.000;0.000;0.000;10;0.000;0.000;0.000;12;0.000;0.000;0.000;13;0.000;0.000;0.000;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;0.000;0.000;0.000;17;0.000;0.000;0.000;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame2;0.407;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.963;5;0.349;0.531;2.913;6;0.342;0.324;2.823;7;0.344;0.280;2.808;8;0.653;0.795;2.955;9;0.711;0.543;2.925;10;0.739;0.328;2.870;10;0.739;0.328;2.870;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.376;-0.199;2.972;16;0.596;0.455;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.780;-0.175;2.931
Frame3;0.433;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.531;2.913;6;0.342;0.324;2.823;7;0.342;0.265;2.801;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.738;0.328;2.870;10;0.738;0.328;2.870;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.377;-0.198;2.973;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.779;-0.169;2.919
Frame4;0.440;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.531;2.913;6;0.342;0.324;2.823;7;0.342;0.265;2.801;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.738;0.328;2.870;10;0.738;0.328;2.870;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.377;-0.198;2.973;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.779;-0.169;2.919
Frame5;0.447;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.531;2.913;6;0.342;0.323;2.823;7;0.340;0.256;2.797;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.738;0.327;2.869;10;0.738;0.327;2.869;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.377;-0.196;2.973;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.779;-0.165;2.914
Frame6;0.454;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.531;2.913;6;0.342;0.323;2.823;7;0.340;0.256;2.797;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.738;0.327;2.869;10;0.738;0.327;2.869;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.377;-0.196;2.973;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.779;-0.165;2.914
Frame7;0.461;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.531;2.913;6;0.342;0.323;2.823;7;0.340;0.256;2.797;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.738;0.327;2.869;10;0.738;0.327;2.869;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.377;-0.196;2.973;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.779;-0.165;2.914
Frame8;0.468;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.531;2.913;6;0.342;0.323;2.823;7;0.340;0.256;2.797;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.738;0.327;2.869;10;0.738;0.327;2.869;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.377;-0.196;2.973;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.779;-0.165;2.914
Frame9;0.475;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.530;2.913;6;0.342;0.323;2.823;7;0.339;0.250;2.794;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.737;0.327;2.869;10;0.737;0.327;2.869;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.378;-0.194;2.974;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.778;-0.162;2.911
Frame10;0.482;0;0.529;0.517;2.922;1;0.528;0.576;2.976;2;0.512;0.920;2.981;3;0.501;1.154;3.014;4;0.368;0.793;2.964;5;0.349;0.530;2.913;6;0.342;0.323;2.823;7;0.339;0.250;2.794;8;0.653;0.794;2.955;9;0.711;0.543;2.925;10;0.737;0.327;2.869;10;0.737;0.327;2.869;12;0.468;0.454;2.910;13;0.428;0.148;2.948;14;0.395;-0.131;3.003;15;0.378;-0.194;2.974;16;0.596;0.454;2.913;17;0.685;0.136;2.947;18;0.761;-0.115;2.982;19;0.778;-0.162;2.911
