FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame2448;140.324;0;0.323;0.407;3.608;1;0.329;0.456;3.671;2;0.329;0.794;3.729;3;0.350;0.979;3.730;4;0.194;0.682;3.690;5;0.145;0.438;3.644;6;0.137;0.268;3.516;7;0.143;0.209;3.497;8;0.490;0.670;3.654;9;0.501;0.452;3.577;10;0.441;0.314;3.439;10;0.441;0.314;3.439;12;0.254;0.347;3.596;13;0.130;-0.011;3.550;14;0.054;-0.312;3.622;15;0.043;-0.346;3.536;16;0.390;0.339;3.574;17;0.485;-0.066;3.640;18;0.600;-0.346;3.645;19;0.625;-0.417;3.580
Frame2449;140.364;0;0.322;0.407;3.607;1;0.328;0.456;3.670;2;0.328;0.794;3.729;3;0.348;0.979;3.729;4;0.192;0.682;3.689;5;0.138;0.429;3.640;6;0.139;0.267;3.512;7;0.146;0.208;3.494;8;0.481;0.669;3.652;9;0.492;0.444;3.572;10;0.459;0.273;3.457;10;0.459;0.273;3.457;12;0.253;0.348;3.595;13;0.126;-0.008;3.538;14;0.053;-0.312;3.615;15;0.042;-0.346;3.529;16;0.388;0.339;3.573;17;0.485;-0.067;3.640;18;0.599;-0.343;3.644;19;0.626;-0.418;3.581
Frame2450;140.380;0;0.316;0.403;3.604;1;0.323;0.452;3.668;2;0.326;0.793;3.729;3;0.346;0.978;3.728;4;0.188;0.680;3.688;5;0.127;0.419;3.636;6;0.077;0.254;3.514;7;0.085;0.198;3.494;8;0.461;0.660;3.646;9;0.483;0.425;3.565;10;0.496;0.227;3.481;10;0.496;0.227;3.481;12;0.250;0.347;3.593;13;0.122;-0.007;3.529;14;0.053;-0.313;3.608;15;0.041;-0.347;3.523;16;0.378;0.336;3.571;17;0.487;-0.061;3.633;18;0.597;-0.341;3.644;19;0.627;-0.418;3.582
Frame2451;140.420;0;0.309;0.399;3.603;1;0.317;0.448;3.667;2;0.320;0.789;3.729;3;0.342;0.976;3.727;4;0.177;0.676;3.684;5;0.077;0.416;3.626;6;-0.021;0.225;3.557;7;-0.060;0.175;3.558;8;0.452;0.655;3.643;9;0.481;0.413;3.555;10;0.553;0.196;3.498;10;0.553;0.196;3.498;12;0.242;0.342;3.592;13;0.118;-0.008;3.523;14;0.052;-0.315;3.603;15;0.040;-0.349;3.517;16;0.371;0.333;3.570;17;0.487;-0.058;3.628;18;0.595;-0.338;3.643;19;0.627;-0.418;3.584
Frame2452;140.437;0;0.298;0.394;3.604;1;0.306;0.444;3.668;2;0.313;0.786;3.730;3;0.340;0.974;3.726;4;0.161;0.675;3.682;5;0.000;0.440;3.638;6;-0.130;0.253;3.602;7;-0.155;0.202;3.599;8;0.446;0.652;3.641;9;0.529;0.407;3.538;10;0.628;0.195;3.512;10;0.628;0.195;3.512;12;0.227;0.335;3.593;13;0.113;-0.009;3.519;14;0.050;-0.316;3.595;15;0.038;-0.350;3.510;16;0.362;0.328;3.572;17;0.487;-0.060;3.621;18;0.593;-0.339;3.637;19;0.627;-0.418;3.585
Frame2453;140.454;0;0.298;0.394;3.604;1;0.306;0.444;3.668;2;0.313;0.786;3.730;3;0.340;0.974;3.726;4;0.161;0.675;3.682;5;0.000;0.440;3.638;6;-0.130;0.253;3.602;7;-0.155;0.202;3.599;8;0.446;0.652;3.641;9;0.529;0.407;3.538;10;0.628;0.195;3.512;10;0.628;0.195;3.512;12;0.227;0.335;3.593;13;0.113;-0.009;3.519;14;0.050;-0.316;3.595;15;0.038;-0.350;3.510;16;0.362;0.328;3.572;17;0.487;-0.060;3.621;18;0.593;-0.339;3.637;19;0.627;-0.418;3.585
Frame2454;140.471;0;0.298;0.394;3.604;1;0.306;0.444;3.668;2;0.313;0.786;3.730;3;0.340;0.974;3.726;4;0.161;0.675;3.682;5;0.000;0.440;3.638;6;-0.130;0.253;3.602;7;-0.155;0.202;3.599;8;0.446;0.652;3.641;9;0.529;0.407;3.538;10;0.628;0.195;3.512;10;0.628;0.195;3.512;12;0.227;0.335;3.593;13;0.113;-0.009;3.519;14;0.050;-0.316;3.595;15;0.038;-0.350;3.510;16;0.362;0.328;3.572;17;0.487;-0.060;3.621;18;0.593;-0.339;3.637;19;0.627;-0.418;3.585
Frame2455;140.488;0;0.284;0.392;3.607;1;0.293;0.442;3.669;2;0.306;0.784;3.730;3;0.338;0.973;3.726;4;0.150;0.677;3.680;5;-0.075;0.498;3.659;6;-0.243;0.334;3.656;7;-0.290;0.313;3.671;8;0.439;0.651;3.640;9;0.570;0.439;3.541;10;0.700;0.252;3.510;10;0.700;0.252;3.510;12;0.213;0.333;3.594;13;0.109;-0.010;3.517;14;0.049;-0.318;3.592;15;0.038;-0.352;3.507;16;0.344;0.326;3.578;17;0.487;-0.062;3.616;18;0.591;-0.344;3.626;19;0.620;-0.416;3.556
Frame2456;140.505;0;0.264;0.400;3.611;1;0.274;0.449;3.674;2;0.300;0.785;3.730;3;0.337;0.973;3.725;4;0.139;0.688;3.677;5;-0.132;0.580;3.675;6;-0.319;0.465;3.689;7;-0.397;0.434;3.718;8;0.433;0.656;3.643;9;0.606;0.498;3.551;10;0.762;0.358;3.508;10;0.762;0.358;3.508;12;0.183;0.351;3.601;13;0.096;0.003;3.523;14;0.048;-0.319;3.590;15;0.037;-0.352;3.505;16;0.329;0.328;3.582;17;0.477;-0.043;3.586;18;0.595;-0.342;3.605;19;0.618;-0.415;3.545
Frame2457;140.523;0;0.264;0.400;3.611;1;0.274;0.449;3.674;2;0.300;0.785;3.730;3;0.337;0.973;3.725;4;0.139;0.688;3.677;5;-0.132;0.580;3.675;6;-0.319;0.465;3.689;7;-0.397;0.434;3.718;8;0.433;0.656;3.643;9;0.606;0.498;3.551;10;0.762;0.358;3.508;10;0.762;0.358;3.508;12;0.183;0.351;3.601;13;0.096;0.003;3.523;14;0.048;-0.319;3.590;15;0.037;-0.352;3.505;16;0.329;0.328;3.582;17;0.477;-0.043;3.586;18;0.595;-0.342;3.605;19;0.618;-0.415;3.545
Frame2458;140.540;0;0.251;0.411;3.615;1;0.259;0.460;3.677;2;0.293;0.791;3.731;3;0.335;0.975;3.724;4;0.128;0.724;3.675;5;-0.165;0.669;3.687;6;-0.356;0.607;3.697;7;-0.446;0.590;3.734;8;0.424;0.672;3.647;9;0.616;0.573;3.563;10;0.795;0.458;3.521;10;0.795;0.458;3.521;12;0.168;0.365;3.604;13;0.088;0.014;3.530;14;0.048;-0.318;3.595;15;0.039;-0.352;3.509;16;0.315;0.337;3.588;17;0.471;-0.033;3.572;18;0.594;-0.329;3.580;19;0.616;-0.413;3.538
Frame2459;140.557;0;0.251;0.411;3.615;1;0.259;0.460;3.677;2;0.293;0.791;3.731;3;0.335;0.975;3.724;4;0.128;0.724;3.675;5;-0.165;0.669;3.687;6;-0.356;0.607;3.697;7;-0.446;0.590;3.734;8;0.424;0.672;3.647;9;0.616;0.573;3.563;10;0.795;0.458;3.521;10;0.795;0.458;3.521;12;0.168;0.365;3.604;13;0.088;0.014;3.530;14;0.048;-0.318;3.595;15;0.039;-0.352;3.509;16;0.315;0.337;3.588;17;0.471;-0.033;3.572;18;0.594;-0.329;3.580;19;0.616;-0.413;3.538
