FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;0.320;0.427;3.308;1;0.330;0.481;3.369;2;0.346;0.833;3.417;3;0.340;1.020;3.408;4;0.187;0.718;3.385;5;0.143;0.465;3.340;6;0.112;0.293;3.245;7;0.097;0.238;3.228;8;0.484;0.717;3.350;9;0.507;0.461;3.284;10;0.511;0.272;3.231;10;0.511;0.272;3.231;12;0.248;0.363;3.299;13;0.197;0.012;3.312;14;0.148;-0.246;3.321;15;0.135;-0.306;3.292;16;0.383;0.362;3.280;17;0.449;0.013;3.326;18;0.513;-0.265;3.367;19;0.516;-0.325;3.337
Frame2;0.044;0;0.320;0.427;3.308;1;0.330;0.481;3.369;2;0.346;0.833;3.417;3;0.340;1.020;3.409;4;0.187;0.718;3.385;5;0.143;0.465;3.340;6;0.112;0.293;3.245;7;0.096;0.237;3.228;8;0.484;0.717;3.349;9;0.507;0.461;3.284;10;0.511;0.272;3.231;10;0.511;0.272;3.231;12;0.248;0.363;3.299;13;0.197;0.012;3.312;14;0.148;-0.246;3.321;15;0.135;-0.306;3.292;16;0.383;0.362;3.279;17;0.449;0.014;3.326;18;0.513;-0.265;3.367;19;0.516;-0.325;3.337
Frame3;0.086;0;0.320;0.427;3.308;1;0.330;0.481;3.369;2;0.346;0.833;3.417;3;0.340;1.020;3.409;4;0.187;0.718;3.385;5;0.143;0.465;3.339;6;0.112;0.292;3.245;7;0.097;0.237;3.227;8;0.484;0.717;3.348;9;0.507;0.461;3.283;10;0.511;0.272;3.230;10;0.511;0.272;3.230;12;0.248;0.363;3.299;13;0.197;0.012;3.311;14;0.148;-0.246;3.321;15;0.135;-0.306;3.292;16;0.383;0.362;3.279;17;0.449;0.014;3.325;18;0.513;-0.265;3.367;19;0.516;-0.325;3.337
Frame4;0.103;0;0.320;0.427;3.308;1;0.330;0.481;3.369;2;0.346;0.833;3.417;3;0.340;1.020;3.409;4;0.187;0.718;3.385;5;0.143;0.465;3.339;6;0.112;0.292;3.245;7;0.097;0.237;3.227;8;0.484;0.717;3.348;9;0.507;0.461;3.283;10;0.511;0.272;3.230;10;0.511;0.272;3.230;12;0.248;0.363;3.299;13;0.197;0.012;3.311;14;0.148;-0.246;3.321;15;0.135;-0.306;3.292;16;0.383;0.362;3.279;17;0.449;0.014;3.325;18;0.513;-0.265;3.367;19;0.516;-0.325;3.337
Frame5;0.120;0;0.320;0.427;3.307;1;0.330;0.481;3.369;2;0.346;0.833;3.417;3;0.340;1.020;3.409;4;0.187;0.718;3.384;5;0.143;0.465;3.339;6;0.112;0.292;3.245;7;0.097;0.237;3.228;8;0.483;0.717;3.346;9;0.507;0.461;3.283;10;0.511;0.272;3.230;10;0.511;0.272;3.230;12;0.248;0.363;3.299;13;0.197;0.012;3.311;14;0.147;-0.246;3.320;15;0.135;-0.306;3.292;16;0.383;0.362;3.279;17;0.449;0.014;3.325;18;0.513;-0.265;3.366;19;0.516;-0.325;3.337
Frame6;0.137;0;0.320;0.427;3.307;1;0.330;0.481;3.369;2;0.346;0.833;3.417;3;0.340;1.020;3.409;4;0.187;0.718;3.384;5;0.143;0.465;3.339;6;0.112;0.292;3.245;7;0.097;0.237;3.228;8;0.483;0.717;3.346;9;0.507;0.461;3.283;10;0.511;0.272;3.230;10;0.511;0.272;3.230;12;0.248;0.363;3.299;13;0.197;0.012;3.311;14;0.147;-0.246;3.320;15;0.135;-0.306;3.292;16;0.383;0.362;3.279;17;0.449;0.014;3.325;18;0.513;-0.265;3.366;19;0.516;-0.325;3.337
Frame7;0.154;0;0.320;0.427;3.307;1;0.330;0.481;3.369;2;0.346;0.833;3.417;3;0.340;1.020;3.409;4;0.187;0.718;3.384;5;0.143;0.466;3.339;6;0.112;0.291;3.246;7;0.097;0.237;3.228;8;0.483;0.717;3.345;9;0.507;0.461;3.283;10;0.511;0.273;3.230;10;0.511;0.273;3.230;12;0.248;0.363;3.299;13;0.196;0.013;3.311;14;0.147;-0.246;3.319;15;0.135;-0.306;3.292;16;0.383;0.362;3.278;17;0.449;0.014;3.324;18;0.512;-0.265;3.366;19;0.516;-0.325;3.337
Frame8;0.171;0;0.320;0.427;3.307;1;0.330;0.481;3.369;2;0.346;0.833;3.418;3;0.340;1.020;3.409;4;0.188;0.719;3.383;5;0.143;0.466;3.339;6;0.112;0.290;3.246;7;0.097;0.236;3.228;8;0.483;0.717;3.344;9;0.507;0.462;3.282;10;0.512;0.273;3.229;10;0.512;0.273;3.229;12;0.248;0.363;3.298;13;0.196;0.013;3.310;14;0.146;-0.246;3.318;15;0.135;-0.306;3.292;16;0.383;0.362;3.277;17;0.449;0.014;3.324;18;0.512;-0.264;3.366;19;0.516;-0.325;3.337
Frame9;0.188;0;0.320;0.427;3.307;1;0.330;0.481;3.369;2;0.346;0.833;3.418;3;0.340;1.020;3.409;4;0.188;0.719;3.383;5;0.143;0.466;3.339;6;0.112;0.290;3.246;7;0.097;0.236;3.228;8;0.483;0.717;3.344;9;0.507;0.462;3.282;10;0.512;0.273;3.229;10;0.512;0.273;3.229;12;0.248;0.363;3.298;13;0.196;0.013;3.310;14;0.146;-0.246;3.318;15;0.135;-0.306;3.292;16;0.383;0.362;3.277;17;0.449;0.014;3.324;18;0.512;-0.264;3.366;19;0.516;-0.325;3.337
Frame10;0.205;0;0.320;0.427;3.307;1;0.330;0.481;3.368;2;0.346;0.834;3.418;3;0.340;1.020;3.408;4;0.188;0.719;3.382;5;0.143;0.466;3.339;6;0.111;0.289;3.247;7;0.097;0.236;3.228;8;0.482;0.717;3.342;9;0.507;0.462;3.281;10;0.512;0.273;3.229;10;0.512;0.273;3.229;12;0.248;0.363;3.298;13;0.196;0.013;3.309;14;0.146;-0.246;3.317;15;0.135;-0.306;3.292;16;0.382;0.362;3.276;17;0.449;0.015;3.322;18;0.512;-0.264;3.366;19;0.516;-0.325;3.337
