FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.353;0;0;0;0;1;0;0;0;2;0;0;0;3;0;0;0;4;0;0;0;5;0;0;0;6;0;0;0;7;0;0;0;8;0;0;0;9;0;0;0;10;0;0;0;10;0;0;0;12;0;0;0;13;0;0;0;14;0;0;0;15;0;0;0;16;0;0;0;17;0;0;0;18;0;0;0;19;0;0;0
Frame2;0.428;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.098;0.982;3.657;4;-0.064;0.68;3.621;5;-0.121;0.411;3.604;6;-0.185;0.224;3.512;7;-0.177;0.19;3.494;8;0.243;0.671;3.6;9;0.274;0.419;3.527;10;0.269;0.222;3.434;10;0.269;0.222;3.434;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.146;-0.338;3.578;15;-0.153;-0.372;3.489;16;0.146;0.323;3.551;17;0.203;-0.039;3.572;18;0.266;-0.341;3.56;19;0.26;-0.375;3.47
Frame3;0.464;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.098;0.982;3.657;4;-0.064;0.68;3.621;5;-0.121;0.411;3.604;6;-0.185;0.223;3.513;7;-0.177;0.19;3.494;8;0.243;0.671;3.6;9;0.274;0.419;3.527;10;0.269;0.222;3.433;10;0.269;0.222;3.433;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.145;-0.335;3.579;15;-0.151;-0.369;3.49;16;0.146;0.323;3.551;17;0.203;-0.039;3.572;18;0.268;-0.351;3.564;19;0.261;-0.385;3.475
Frame4;0.481;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.097;0.982;3.657;4;-0.064;0.68;3.621;5;-0.121;0.411;3.604;6;-0.185;0.223;3.513;7;-0.177;0.19;3.494;8;0.243;0.671;3.601;9;0.274;0.419;3.527;10;0.27;0.221;3.434;10;0.27;0.221;3.434;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.144;-0.334;3.579;15;-0.151;-0.368;3.49;16;0.146;0.323;3.551;17;0.203;-0.04;3.572;18;0.27;-0.362;3.573;19;0.263;-0.397;3.484
Frame5;0.498;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.097;0.982;3.657;4;-0.064;0.68;3.621;5;-0.121;0.411;3.604;6;-0.185;0.223;3.513;7;-0.177;0.19;3.494;8;0.243;0.671;3.601;9;0.274;0.419;3.527;10;0.27;0.221;3.434;10;0.27;0.221;3.434;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.144;-0.334;3.579;15;-0.151;-0.368;3.49;16;0.146;0.323;3.551;17;0.203;-0.04;3.572;18;0.27;-0.362;3.573;19;0.263;-0.397;3.484
Frame6;0.515;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.097;0.982;3.657;4;-0.064;0.68;3.62;5;-0.121;0.411;3.604;6;-0.185;0.222;3.513;7;-0.177;0.19;3.495;8;0.243;0.671;3.601;9;0.274;0.419;3.527;10;0.269;0.22;3.434;10;0.269;0.22;3.434;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.144;-0.333;3.58;15;-0.15;-0.367;3.491;16;0.146;0.323;3.551;17;0.203;-0.04;3.572;18;0.27;-0.364;3.574;19;0.263;-0.399;3.486
Frame7;0.532;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.097;0.982;3.657;4;-0.064;0.68;3.62;5;-0.121;0.411;3.604;6;-0.185;0.222;3.513;7;-0.177;0.19;3.495;8;0.243;0.671;3.601;9;0.274;0.419;3.527;10;0.269;0.22;3.434;10;0.269;0.22;3.434;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.144;-0.333;3.58;15;-0.15;-0.367;3.491;16;0.146;0.323;3.551;17;0.203;-0.04;3.572;18;0.27;-0.364;3.574;19;0.263;-0.399;3.486
Frame8;0.549;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.097;0.982;3.657;4;-0.064;0.68;3.62;5;-0.121;0.411;3.604;6;-0.186;0.222;3.513;7;-0.177;0.19;3.495;8;0.243;0.671;3.601;9;0.274;0.419;3.527;10;0.269;0.22;3.434;10;0.269;0.22;3.434;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.144;-0.333;3.58;15;-0.15;-0.367;3.491;16;0.146;0.323;3.551;17;0.202;-0.04;3.572;18;0.27;-0.366;3.576;19;0.264;-0.4;3.487
Frame9;0.566;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.097;0.982;3.657;4;-0.064;0.68;3.62;5;-0.121;0.411;3.604;6;-0.186;0.222;3.513;7;-0.177;0.19;3.495;8;0.243;0.671;3.601;9;0.274;0.419;3.527;10;0.269;0.22;3.434;10;0.269;0.22;3.434;12;0.008;0.328;3.556;13;-0.081;-0.065;3.605;14;-0.144;-0.333;3.58;15;-0.15;-0.367;3.491;16;0.146;0.323;3.551;17;0.202;-0.04;3.572;18;0.27;-0.366;3.576;19;0.264;-0.4;3.487
Frame10;0.583;0;0.082;0.392;3.571;1;0.09;0.446;3.63;2;0.111;0.79;3.662;3;0.097;0.982;3.657;4;-0.064;0.68;3.62;5;-0.121;0.411;3.604;6;-0.186;0.221;3.513;7;-0.177;0.19;3.496;8;0.243;0.671;3.601;9;0.274;0.419;3.527;10;0.269;0.219;3.434;10;0.269;0.219;3.434;12;0.008;0.328;3.556;13;-0.08;-0.065;3.606;14;-0.143;-0.332;3.58;15;-0.15;-0.367;3.491;16;0.146;0.323;3.551;17;0.202;-0.041;3.572;18;0.266;-0.348;3.574;19;0.28;-0.415;3.512
