FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.002;0.449;3.283;1;-0.005;0.501;3.347;2;0.000;0.854;3.405;3;0.005;1.038;3.391;4;-0.146;0.746;3.332;5;-0.187;0.480;3.277;6;-0.215;0.298;3.178;7;-0.211;0.259;3.165;8;0.151;0.739;3.353;9;0.188;0.474;3.271;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.256;13;-0.151;0.026;3.283;14;-0.236;-0.243;3.283;15;-0.232;-0.266;3.219;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.248;3.296;19;0.212;-0.300;3.271
Frame2;0.045;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.854;3.405;3;0.005;1.038;3.392;4;-0.146;0.746;3.332;5;-0.187;0.480;3.277;6;-0.215;0.298;3.178;7;-0.211;0.260;3.165;8;0.151;0.739;3.352;9;0.188;0.474;3.271;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.256;13;-0.151;0.026;3.283;14;-0.236;-0.243;3.283;15;-0.233;-0.266;3.219;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.248;3.296;19;0.212;-0.300;3.272
Frame3;0.086;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.854;3.405;3;0.005;1.038;3.392;4;-0.146;0.746;3.332;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.211;0.260;3.165;8;0.151;0.739;3.352;9;0.188;0.474;3.271;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.256;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.233;-0.266;3.219;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.247;3.296;19;0.212;-0.300;3.273
Frame4;0.103;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.854;3.405;3;0.005;1.038;3.392;4;-0.146;0.746;3.332;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.211;0.260;3.165;8;0.151;0.739;3.352;9;0.188;0.474;3.271;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.256;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.233;-0.266;3.219;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.247;3.296;19;0.212;-0.300;3.273
Frame5;0.120;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.854;3.406;3;0.006;1.038;3.392;4;-0.146;0.746;3.332;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.212;0.260;3.166;8;0.151;0.739;3.352;9;0.188;0.474;3.272;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.256;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.251;-0.291;3.241;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.247;3.296;19;0.211;-0.300;3.273
Frame6;0.137;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.854;3.406;3;0.006;1.038;3.392;4;-0.146;0.746;3.332;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.212;0.260;3.166;8;0.151;0.739;3.352;9;0.188;0.474;3.272;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.256;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.251;-0.291;3.241;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.247;3.296;19;0.211;-0.300;3.273
Frame7;0.154;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.853;3.406;3;0.006;1.038;3.393;4;-0.146;0.746;3.333;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.212;0.261;3.166;8;0.151;0.738;3.352;9;0.187;0.474;3.272;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.257;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.249;-0.286;3.238;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.247;3.296;19;0.211;-0.300;3.274
Frame8;0.171;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.853;3.406;3;0.006;1.038;3.393;4;-0.146;0.746;3.333;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.212;0.261;3.166;8;0.151;0.738;3.352;9;0.187;0.474;3.272;10;0.216;0.277;3.215;10;0.216;0.277;3.215;12;-0.069;0.386;3.257;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.249;-0.286;3.238;16;0.065;0.383;3.267;17;0.114;0.032;3.285;18;0.203;-0.247;3.296;19;0.211;-0.300;3.274
Frame9;0.189;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.854;3.406;3;0.006;1.038;3.393;4;-0.146;0.746;3.333;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.212;0.261;3.167;8;0.151;0.738;3.353;9;0.187;0.474;3.272;10;0.215;0.277;3.215;10;0.215;0.277;3.215;12;-0.069;0.386;3.257;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.246;-0.281;3.234;16;0.065;0.382;3.267;17;0.114;0.032;3.285;18;0.202;-0.247;3.296;19;0.211;-0.300;3.274
Frame10;0.206;0;-0.002;0.448;3.283;1;-0.005;0.500;3.347;2;0.000;0.854;3.406;3;0.006;1.038;3.393;4;-0.146;0.746;3.333;5;-0.187;0.479;3.277;6;-0.215;0.298;3.177;7;-0.212;0.261;3.167;8;0.151;0.738;3.353;9;0.187;0.474;3.272;10;0.215;0.277;3.215;10;0.215;0.277;3.215;12;-0.069;0.386;3.257;13;-0.151;0.026;3.283;14;-0.236;-0.242;3.283;15;-0.246;-0.281;3.234;16;0.065;0.382;3.267;17;0.114;0.032;3.285;18;0.202;-0.247;3.296;19;0.211;-0.300;3.274
