time,HipCenter,HipCenterCoordinates.x,HipCenterCoordinates.y,HipCenterCoordinates.z,Spine,SpineCoordinates.x,SpineCoordinates.y,SpineCoordinates.z,ShoulderCenter,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.zHead,HeadCoordinates.x,HeadCoordinates.y,HeadCoordinates.z,ShoulderLeft,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.z,ElbowLeft,ElbowLeftCoordinates.x,ElbowLeftCoordinates.y,ElbowLeftCoordinates.z,WristLeft,WristLeftCoordinates.x,WristLeftCoordinates.y,WristLeftCoordinates.z,HandLeft,HandLeftCoordinates.x,HandLeftCoordinates.y,HandLeftCoordinates.z,ShoulderRight,ShoulderRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,ElbowRight,ElbowRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,WristRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HandRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HipLeft,HipLeftCoordinates.x,HipLeftCoordinates.y,HipLeftCoordinates.z,KneeLeft,KneeLeftCoordinates.x,KneeLeftCoordinates.y,KneeLeftCoordinates.z,AnkleLeft,AnkleLeftCoordinates.x,AnkleLeftCoordinates.y,AnkleLeftCoordinates.z,FootLeft,FootLeftCoordinates.x,FootLeftCoordinates.y,FootLeftCoordinates.z,HipRight,HipRightCoordinates.x,HipRightCoordinates.y,HipRightCoordinates.z,KneeRight,KneeRightCoordinates.x,KneeRightCoordinates.y,KneeRightCoordinates.z,AnkleRight,AnkleRightCoordinates.x,AnkleRightCoordinates.y,AnkleRightCoordinates.z,FootRight,FootRightCoordinates.x,FootRightCoordinates.y,FootRightCoordinates.z
7.759,0,0.000,0.000,0.000,1,0.000,0.000,0.000,2,0.000,0.000,0.000,3,0.000,0.000,0.000,4,0.000,0.000,0.000,5,0.000,0.000,0.000,6,0.000,0.000,0.000,7,0.000,0.000,0.000,8,0.000,0.000,0.000,9,0.000,0.000,0.000,10,0.000,0.000,0.000,10,0.000,0.000,0.000,12,0.000,0.000,0.000,13,0.000,0.000,0.000,14,0.000,0.000,0.000,15,0.000,0.000,0.000,16,0.000,0.000,0.000,17,0.000,0.000,0.000,18,0.000,0.000,0.000,19,0.000,0.000,0.000
7.789,0,0.029,0.854,1.400,1,0.030,0.897,1.395,2,-0.119,1.033,1.367,3,0.067,1.297,1.357,4,-0.119,1.033,1.367,5,-0.322,1.010,1.318,6,-0.493,0.989,1.205,7,-0.552,0.972,1.155,8,0.199,1.034,1.433,9,0.426,1.034,1.433,10,0.622,0.957,1.537,10,0.622,0.957,1.537,12,-0.045,0.781,1.392,13,-0.461,1.026,1.279,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.098,0.782,1.416,17,-0.197,1.109,1.411,18,0.181,1.031,1.450,19,0.238,1.019,1.371
7.801,0,0.029,0.854,1.400,1,0.030,0.897,1.395,2,-0.119,1.033,1.367,3,0.067,1.297,1.357,4,-0.119,1.033,1.367,5,-0.322,1.010,1.318,6,-0.493,0.989,1.205,7,-0.552,0.972,1.155,8,0.199,1.034,1.433,9,0.426,1.034,1.433,10,0.622,0.957,1.537,10,0.622,0.957,1.537,12,-0.045,0.781,1.392,13,-0.461,1.026,1.279,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.098,0.782,1.416,17,-0.197,1.109,1.411,18,0.181,1.031,1.450,19,0.238,1.019,1.371
7.817,0,0.028,0.854,1.402,1,0.029,0.897,1.396,2,-0.120,1.032,1.369,3,0.064,1.296,1.361,4,-0.120,1.032,1.369,5,-0.322,1.010,1.318,6,-0.489,0.986,1.206,7,-0.550,0.969,1.153,8,0.198,1.034,1.435,9,0.426,1.034,1.435,10,0.628,0.964,1.541,10,0.628,0.964,1.541,12,-0.046,0.781,1.394,13,-0.473,1.041,1.286,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.097,0.782,1.417,17,-0.197,1.105,1.416,18,0.178,1.036,1.458,19,0.233,1.027,1.384
7.827,0,0.028,0.854,1.402,1,0.029,0.897,1.396,2,-0.120,1.032,1.369,3,0.064,1.296,1.361,4,-0.120,1.032,1.369,5,-0.322,1.010,1.318,6,-0.489,0.986,1.206,7,-0.550,0.969,1.153,8,0.198,1.034,1.435,9,0.426,1.034,1.435,10,0.628,0.964,1.541,10,0.628,0.964,1.541,12,-0.046,0.781,1.394,13,-0.473,1.041,1.286,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.097,0.782,1.417,17,-0.197,1.105,1.416,18,0.178,1.036,1.458,19,0.233,1.027,1.384
7.839,0,0.028,0.854,1.402,1,0.029,0.897,1.396,2,-0.120,1.032,1.369,3,0.064,1.296,1.361,4,-0.120,1.032,1.369,5,-0.322,1.010,1.318,6,-0.489,0.986,1.206,7,-0.550,0.969,1.153,8,0.198,1.034,1.435,9,0.426,1.034,1.435,10,0.628,0.964,1.541,10,0.628,0.964,1.541,12,-0.046,0.781,1.394,13,-0.473,1.041,1.286,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.097,0.782,1.417,17,-0.197,1.105,1.416,18,0.178,1.036,1.458,19,0.233,1.027,1.384
7.850,0,0.024,0.854,1.410,1,0.025,0.896,1.404,2,-0.125,1.029,1.376,3,0.053,1.294,1.373,4,-0.125,1.029,1.376,5,-0.321,1.008,1.319,6,-0.481,0.974,1.206,7,-0.543,0.956,1.150,8,0.194,1.034,1.440,9,0.425,1.034,1.440,10,0.633,0.973,1.543,10,0.633,0.973,1.543,12,-0.051,0.780,1.404,13,-0.254,1.114,1.411,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.094,0.782,1.423,17,-0.197,1.102,1.422,18,0.178,1.036,1.458,19,0.226,1.032,1.395
7.862,0,0.024,0.854,1.410,1,0.025,0.896,1.404,2,-0.125,1.029,1.376,3,0.053,1.294,1.373,4,-0.125,1.029,1.376,5,-0.321,1.008,1.319,6,-0.481,0.974,1.206,7,-0.543,0.956,1.150,8,0.194,1.034,1.440,9,0.425,1.034,1.440,10,0.633,0.973,1.543,10,0.633,0.973,1.543,12,-0.051,0.780,1.404,13,-0.254,1.114,1.411,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.094,0.782,1.423,17,-0.197,1.102,1.422,18,0.178,1.036,1.458,19,0.226,1.032,1.395
7.871,0,0.024,0.854,1.410,1,0.025,0.896,1.404,2,-0.125,1.029,1.376,3,0.053,1.294,1.373,4,-0.125,1.029,1.376,5,-0.321,1.008,1.319,6,-0.481,0.974,1.206,7,-0.543,0.956,1.150,8,0.194,1.034,1.440,9,0.425,1.034,1.440,10,0.633,0.973,1.543,10,0.633,0.973,1.543,12,-0.051,0.780,1.404,13,-0.254,1.114,1.411,14,0.000,0.000,0.000,15,-0.190,0.725,1.428,16,0.094,0.782,1.423,17,-0.197,1.102,1.422,18,0.178,1.036,1.458,19,0.226,1.032,1.395
7.882,0,0.019,0.853,1.419,1,0.019,0.895,1.414,2,-0.132,1.022,1.388,3,0.040,1.292,1.389,4,-0.132,1.022,1.388,5,-0.321,1.002,1.321,6,-0.473,0.962,1.206,7,-0.534,0.942,1.147,8,0.188,1.033,1.449,9,0.418,1.033,1.449,10,0.612,1.003,1.543,10,0.612,1.003,1.543,12,-0.055,0.779,1.414,13,-0.217,1.125,1.442,14,-0.190,0.770,1.494,15,-0.185,0.708,1.422,16,0.090,0.783,1.432,17,-0.197,1.100,1.431,18,0.178,1.036,1.458,19,0.220,1.045,1.406
