Frametime;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.zHead;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z);;
Frame1;19.222;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.002;1.655;1.764;3;-0.057;1.81;1.88;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.218;1.024;1.576;8;0.113;1.499;1.7;9;0.17;1.255;1.654;10;0.164;1.075;1.585;10;0.164;1.075;1.585;12;-0.072;1.147;1.641;13;-0.121;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.028;0.466;1.665;19;0.081;0.366;1.664
Frame2;19.247;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.052;1.81;1.883;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.217;1.021;1.576;8;0.113;1.499;1.7;9;0.17;1.255;1.654;10;0.164;1.075;1.585;10;0.164;1.075;1.585;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.466;1.665;19;0.082;0.366;1.664
Frame3;19.259;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.052;1.81;1.883;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.217;1.021;1.576;8;0.113;1.499;1.7;9;0.17;1.255;1.654;10;0.164;1.075;1.585;10;0.164;1.075;1.585;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.466;1.665;19;0.082;0.366;1.664
Frame4;19.27;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.052;1.81;1.883;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.217;1.021;1.576;8;0.113;1.499;1.7;9;0.17;1.255;1.654;10;0.164;1.075;1.585;10;0.164;1.075;1.585;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.466;1.665;19;0.082;0.366;1.664
Frame5;19.292;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.049;1.81;1.885;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.216;1.018;1.576;8;0.113;1.499;1.7;9;0.17;1.255;1.654;10;0.164;1.076;1.585;10;0.164;1.076;1.585;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.466;1.665;19;0.082;0.366;1.664
Frame6;19.304;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.049;1.81;1.885;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.216;1.018;1.576;8;0.113;1.499;1.7;9;0.17;1.255;1.654;10;0.164;1.076;1.585;10;0.164;1.076;1.585;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.466;1.665;19;0.082;0.366;1.664
Frame7;19.314;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.049;1.81;1.885;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.216;1.018;1.576;8;0.113;1.499;1.7;9;0.17;1.255;1.654;10;0.164;1.076;1.585;10;0.164;1.076;1.585;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.466;1.665;19;0.082;0.366;1.664
Frame8;19.326;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.047;1.81;1.886;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.216;1.017;1.575;8;0.113;1.498;1.7;9;0.17;1.255;1.654;10;0.163;1.071;1.583;10;0.163;1.071;1.583;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.465;1.665;19;0.082;0.366;1.663
Frame9;19.336;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.047;1.81;1.886;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.216;1.017;1.575;8;0.113;1.498;1.7;9;0.17;1.255;1.654;10;0.163;1.071;1.583;10;0.163;1.071;1.583;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.465;1.665;19;0.082;0.366;1.663
Frame10;19.347;0;-0.017;1.197;1.655;1;-0.016;1.262;1.715;2;-0.001;1.655;1.764;3;-0.047;1.81;1.886;4;-0.124;1.502;1.692;5;-0.212;1.268;1.667;6;-0.22;1.083;1.591;7;-0.216;1.017;1.575;8;0.113;1.498;1.7;9;0.17;1.255;1.654;10;0.163;1.071;1.583;10;0.163;1.071;1.583;12;-0.072;1.147;1.641;13;-0.122;0.788;1.682;14;-0.139;0.47;1.677;15;-0.14;0.425;1.589;16;0.035;1.144;1.643;17;0.067;0.784;1.687;18;0.027;0.465;1.665;19;0.082;0.366;1.663
