FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;13.328;0;0.000;0.000;0.000;1;0.000;0.000;0.000;2;0.000;0.000;0.000;3;0.000;0.000;0.000;4;0.000;0.000;0.000;5;0.000;0.000;0.000;6;0.000;0.000;0.000;7;0.000;0.000;0.000;8;0.000;0.000;0.000;9;0.000;0.000;0.000;10;0.000;0.000;0.000;10;0.000;0.000;0.000;12;0.000;0.000;0.000;13;0.000;0.000;0.000;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;0.000;0.000;0.000;17;0.000;0.000;0.000;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame2;13.364;0;-0.202;0.747;1.316;1;-0.195;0.803;1.367;2;-0.225;1.127;1.371;3;-0.277;1.308;1.342;4;-0.398;1.010;1.417;5;-0.429;0.772;1.408;6;-0.442;0.607;1.255;7;-0.439;0.554;1.189;8;-0.064;1.035;1.338;9;0.097;0.819;1.320;10;0.162;0.629;1.186;10;0.162;0.629;1.186;12;-0.272;0.665;1.321;13;-0.672;0.616;1.350;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;-0.122;0.676;1.284;17;0.121;0.312;1.359;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame3;13.380;0;-0.202;0.747;1.316;1;-0.195;0.803;1.367;2;-0.225;1.127;1.371;3;-0.277;1.308;1.342;4;-0.398;1.010;1.417;5;-0.429;0.772;1.408;6;-0.442;0.607;1.255;7;-0.439;0.554;1.189;8;-0.064;1.035;1.338;9;0.097;0.819;1.320;10;0.162;0.629;1.186;10;0.162;0.629;1.186;12;-0.272;0.665;1.321;13;-0.672;0.616;1.350;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;-0.122;0.676;1.284;17;0.121;0.312;1.359;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame4;13.397;0;-0.201;0.742;1.330;1;-0.194;0.799;1.381;2;-0.224;1.128;1.389;3;-0.276;1.308;1.363;4;-0.396;1.008;1.433;5;-0.428;0.769;1.429;6;-0.448;0.599;1.287;7;-0.446;0.544;1.222;8;-0.064;1.035;1.352;9;0.097;0.816;1.334;10;0.162;0.621;1.209;10;0.162;0.621;1.209;12;-0.271;0.660;1.337;13;-0.652;0.619;1.372;14;0.000;0.000;0.000;15;-0.445;0.492;1.260;16;-0.122;0.673;1.295;17;0.122;0.310;1.360;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame5;13.414;0;-0.201;0.742;1.330;1;-0.194;0.799;1.381;2;-0.224;1.128;1.389;3;-0.276;1.308;1.363;4;-0.396;1.008;1.433;5;-0.428;0.769;1.429;6;-0.448;0.599;1.287;7;-0.446;0.544;1.222;8;-0.064;1.035;1.352;9;0.097;0.816;1.334;10;0.162;0.621;1.209;10;0.162;0.621;1.209;12;-0.271;0.660;1.337;13;-0.652;0.619;1.372;14;0.000;0.000;0.000;15;-0.445;0.492;1.260;16;-0.122;0.673;1.295;17;0.122;0.310;1.360;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame6;13.430;0;-0.201;0.737;1.356;1;-0.193;0.795;1.408;2;-0.223;1.127;1.416;3;-0.275;1.308;1.392;4;-0.393;1.005;1.461;5;-0.427;0.765;1.454;6;-0.452;0.591;1.318;7;-0.453;0.530;1.260;8;-0.063;1.034;1.378;9;0.096;0.809;1.360;10;0.163;0.608;1.244;10;0.163;0.608;1.244;12;-0.271;0.654;1.362;13;-0.638;0.617;1.404;14;0.000;0.000;0.000;15;-0.463;0.470;1.301;16;-0.123;0.668;1.322;17;0.121;0.306;1.365;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame7;13.447;0;-0.201;0.737;1.356;1;-0.193;0.795;1.408;2;-0.223;1.127;1.416;3;-0.275;1.308;1.392;4;-0.393;1.005;1.461;5;-0.427;0.765;1.454;6;-0.452;0.591;1.318;7;-0.453;0.530;1.260;8;-0.063;1.034;1.378;9;0.096;0.809;1.360;10;0.163;0.608;1.244;10;0.163;0.608;1.244;12;-0.271;0.654;1.362;13;-0.638;0.617;1.404;14;0.000;0.000;0.000;15;-0.463;0.470;1.301;16;-0.123;0.668;1.322;17;0.121;0.306;1.365;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame8;13.464;0;-0.201;0.730;1.387;1;-0.193;0.788;1.439;2;-0.223;1.126;1.448;3;-0.275;1.308;1.426;4;-0.392;1.001;1.491;5;-0.428;0.760;1.482;6;-0.460;0.571;1.353;7;-0.463;0.515;1.307;8;-0.063;1.033;1.409;9;0.094;0.799;1.393;10;0.160;0.594;1.285;10;0.160;0.594;1.285;12;-0.271;0.647;1.392;13;-0.626;0.599;1.460;14;0.000;0.000;0.000;15;-0.480;0.448;1.355;16;-0.123;0.662;1.354;17;0.117;0.296;1.386;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame9;13.480;0;-0.201;0.730;1.387;1;-0.193;0.788;1.439;2;-0.223;1.126;1.448;3;-0.275;1.308;1.426;4;-0.392;1.001;1.491;5;-0.428;0.760;1.482;6;-0.460;0.571;1.353;7;-0.463;0.515;1.307;8;-0.063;1.033;1.409;9;0.094;0.799;1.393;10;0.160;0.594;1.285;10;0.160;0.594;1.285;12;-0.271;0.647;1.392;13;-0.626;0.599;1.460;14;0.000;0.000;0.000;15;-0.480;0.448;1.355;16;-0.123;0.662;1.354;17;0.117;0.296;1.386;18;0.000;0.000;0.000;19;0.000;0.000;0.000
Frame10;13.497;0;-0.204;0.724;1.420;1;-0.195;0.784;1.471;2;-0.224;1.126;1.477;3;-0.276;1.308;1.454;4;-0.394;0.998;1.526;5;-0.431;0.754;1.508;6;-0.468;0.552;1.384;7;-0.474;0.500;1.350;8;-0.063;1.032;1.438;9;0.089;0.791;1.425;10;0.157;0.580;1.323;10;0.157;0.580;1.323;12;-0.274;0.640;1.429;13;-0.625;0.587;1.493;14;0.000;0.000;0.000;15;-0.494;0.431;1.398;16;-0.125;0.655;1.387;17;0.114;0.288;1.402;18;0.000;0.000;0.000;19;0.000;0.000;0.000
