time;joint;pos_x;pos_y;poz_z
5.019;11;0.535;1.092;1.726
5.030;11;0.535;1.092;1.726
5.040;11;0.530;1.093;1.722
5.051;11;0.530;1.093;1.722
5.070;11;0.530;1.093;1.722
5.078;11;0.528;1.092;1.719
5.086;11;0.528;1.092;1.719
5.097;11;0.528;1.092;1.719
5.104;11;0.526;1.091;1.714
5.111;11;0.526;1.091;1.714
5.118;11;0.526;1.091;1.714
5.135;11;0.526;1.091;1.714
5.147;11;0.528;1.089;1.709
5.154;11;0.528;1.089;1.709
5.165;11;0.528;1.089;1.709
5.172;11;0.530;1.086;1.703
5.179;11;0.530;1.086;1.703
5.186;11;0.530;1.086;1.703
5.196;11;0.530;1.086;1.703
5.208;11;0.572;1.075;1.696
5.215;11;0.572;1.075;1.696
5.226;11;0.572;1.075;1.696
5.237;11;0.576;1.072;1.690
5.244;11;0.576;1.072;1.690
5.254;11;0.576;1.072;1.690
5.267;11;0.576;1.072;1.690
5.280;11;0.583;1.070;1.685
5.296;11;0.583;1.070;1.685
5.311;11;0.580;1.071;1.677
5.318;11;0.580;1.071;1.677
5.329;11;0.580;1.071;1.677
5.338;11;0.574;1.073;1.670
5.346;11;0.574;1.073;1.670
5.354;11;0.574;1.073;1.670
5.365;11;0.574;1.073;1.670
5.375;11;0.569;1.075;1.664
5.384;11;0.569;1.075;1.664
5.395;11;0.569;1.075;1.664
5.406;11;0.566;1.077;1.659
5.416;11;0.566;1.077;1.659
5.424;11;0.566;1.077;1.659
5.436;11;0.566;1.077;1.659
5.450;11;0.565;1.079;1.656
5.460;11;0.565;1.079;1.656
5.471;11;0.565;1.079;1.656
5.484;11;0.564;1.080;1.654
5.493;11;0.564;1.080;1.654
5.501;11;0.556;1.083;1.648
5.509;11;0.556;1.083;1.648
5.517;11;0.556;1.083;1.648
5.528;11;0.556;1.083;1.648
5.538;11;0.547;1.086;1.642
5.546;11;0.547;1.086;1.642
5.554;11;0.547;1.086;1.642
5.562;11;0.547;1.086;1.642
5.570;11;0.543;1.088;1.640
5.578;11;0.543;1.088;1.640
5.585;11;0.543;1.088;1.640
5.598;11;0.543;1.088;1.640
5.608;11;0.536;1.090;1.636
5.620;11;0.536;1.090;1.636
5.630;11;0.536;1.090;1.636
5.638;11;0.529;1.092;1.633
5.648;11;0.529;1.092;1.633
5.656;11;0.529;1.092;1.633
5.666;11;0.529;1.092;1.633
5.674;11;0.523;1.095;1.631
5.682;11;0.523;1.095;1.631
5.690;11;0.523;1.095;1.631
5.700;11;0.523;1.095;1.631
5.708;11;0.518;1.097;1.629
5.718;11;0.518;1.097;1.629
5.730;11;0.518;1.097;1.629
5.742;11;0.514;1.099;1.627
5.751;11;0.514;1.099;1.627
5.762;11;0.514;1.099;1.627
5.775;11;0.510;1.102;1.626
5.782;11;0.510;1.102;1.626
5.793;11;0.510;1.102;1.626
5.805;11;0.507;1.104;1.625
5.814;11;0.507;1.104;1.625
5.825;11;0.507;1.104;1.625
5.836;11;0.507;1.104;1.625
5.846;11;0.504;1.106;1.624
5.857;11;0.504;1.106;1.624
5.870;11;0.506;1.108;1.625
5.880;11;0.506;1.108;1.625
5.890;11;0.506;1.108;1.625
5.904;11;0.506;1.108;1.625
5.917;11;0.508;1.110;1.625
5.928;11;0.508;1.110;1.625
5.939;11;0.508;1.110;1.625
5.947;11;0.510;1.112;1.624
5.958;11;0.510;1.112;1.624
5.970;11;0.510;1.112;1.624
5.977;11;0.510;1.116;1.622
5.985;11;0.510;1.116;1.622
5.993;11;0.510;1.116;1.622
6.005;11;0.508;1.130;1.598
6.012;11;0.508;1.130;1.598
6.021;11;0.508;1.130;1.598
6.031;11;0.508;1.130;1.598
6.039;11;0.501;1.146;1.563
6.047;11;0.501;1.146;1.563
6.055;11;0.501;1.146;1.563
6.072;11;0.501;1.146;1.563
6.082;11;0.476;1.167;1.522
6.095;11;0.476;1.167;1.522
6.103;11;0.459;1.181;1.480
6.111;11;0.459;1.181;1.480
6.120;11;0.459;1.181;1.480
6.132;11;0.459;1.181;1.480
6.139;11;0.437;1.196;1.429
6.147;11;0.437;1.196;1.429
6.156;11;0.437;1.196;1.429
6.168;11;0.437;1.196;1.429
6.177;11;0.415;1.217;1.362
6.184;11;0.415;1.217;1.362
6.194;11;0.415;1.217;1.362
6.204;11;0.422;1.264;1.279
6.213;11;0.422;1.264;1.279
6.221;11;0.422;1.264;1.279
6.230;11;0.422;1.264;1.279
6.242;11;0.408;1.310;1.202
6.252;11;0.408;1.310;1.202
6.259;11;0.408;1.310;1.202
6.272;11;0.361;1.344;1.144
6.282;11;0.361;1.344;1.144
6.290;11;0.361;1.344;1.144
6.300;11;0.293;1.362;1.108
6.308;11;0.293;1.362;1.108
6.316;11;0.293;1.362;1.108
6.323;11;0.293;1.362;1.108
6.333;11;0.293;1.362;1.108
6.341;11;0.207;1.363;1.087
6.349;11;0.207;1.363;1.087
6.356;11;0.207;1.363;1.087
6.365;11;0.207;1.363;1.087
6.373;11;0.126;1.361;1.065
6.381;11;0.126;1.361;1.065
6.390;11;0.126;1.361;1.065
6.399;11;0.047;1.346;1.055
6.406;11;0.047;1.346;1.055
6.415;11;0.047;1.346;1.055
6.422;11;0.047;1.346;1.055
6.432;11;0.047;1.346;1.055
6.440;11;-0.016;1.308;1.058
6.449;11;-0.016;1.308;1.058
6.457;11;-0.016;1.308;1.058
6.466;11;-0.099;1.275;1.054
6.475;11;-0.099;1.275;1.054
6.483;11;-0.099;1.275;1.054
6.492;11;-0.099;1.275;1.054
6.501;11;-0.187;1.250;1.049
6.509;11;-0.187;1.250;1.049
6.517;11;-0.187;1.250;1.049
6.525;11;-0.187;1.250;1.049
6.536;11;-0.180;1.171;1.066
6.543;11;-0.180;1.171;1.066
6.551;11;-0.180;1.171;1.066
6.559;11;-0.180;1.171;1.066
6.568;11;-0.108;1.071;1.181
6.576;11;-0.108;1.071;1.181
6.584;11;-0.108;1.071;1.181
6.599;11;-0.152;0.981;1.198
6.607;11;-0.152;0.981;1.198
6.615;11;-0.152;0.981;1.198
6.623;11;-0.152;0.981;1.198
6.635;11;-0.152;0.981;1.198
6.646;11;-0.136;0.902;1.223
6.655;11;-0.136;0.902;1.223
6.666;11;-0.136;0.902;1.223
6.675;11;-0.067;0.842;1.269
6.687;11;-0.067;0.842;1.269
6.703;11;-0.067;0.842;1.269
6.716;11;0.045;0.803;1.311
6.725;11;0.045;0.803;1.311
6.737;11;0.150;0.826;1.375
6.747;11;0.150;0.826;1.375
6.754;11;0.150;0.826;1.375
6.765;11;0.150;0.826;1.375
6.776;11;0.252;0.877;1.427
6.786;11;0.252;0.877;1.427
6.797;11;0.252;0.877;1.427
6.809;11;0.315;0.969;1.468
6.820;11;0.315;0.969;1.468
6.832;11;0.315;0.969;1.468
6.845;11;0.358;1.057;1.476
6.857;11;0.358;1.057;1.476
6.871;11;0.358;1.057;1.476
6.880;11;0.338;1.142;1.472
6.892;11;0.338;1.142;1.472
6.905;11;0.356;1.206;1.431
6.914;11;0.356;1.206;1.431
6.923;11;0.356;1.206;1.431
6.935;11;0.342;1.261;1.386
6.945;11;0.342;1.261;1.386
6.957;11;0.342;1.261;1.386
6.967;11;0.342;1.261;1.386
6.977;11;0.376;1.365;1.229
6.989;11;0.376;1.365;1.229
7.001;11;0.319;1.425;1.134
7.013;11;0.319;1.425;1.134
7.022;11;0.319;1.425;1.134
7.034;11;0.319;1.425;1.134
7.042;11;0.199;1.407;1.099
7.055;11;0.199;1.407;1.099
7.071;11;0.199;1.407;1.099
7.082;11;0.088;1.378;1.074
7.093;11;0.088;1.378;1.074
7.106;11;0.004;1.230;1.101
7.116;11;0.004;1.230;1.101
7.126;11;0.004;1.230;1.101
7.139;11;0.004;1.230;1.101
7.206;11;-0.074;1.010;1.222
7.222;11;-0.122;0.923;1.271
7.237;11;-0.122;0.923;1.271
7.248;11;-0.075;0.834;1.355
7.259;11;-0.075;0.834;1.355
7.274;11;0.016;0.806;1.438
7.288;11;0.016;0.806;1.438
7.304;11;0.016;0.806;1.438
7.322;11;0.113;0.821;1.519
7.342;11;0.176;0.919;1.584
7.352;11;0.176;0.919;1.584
7.366;11;0.176;0.919;1.584
7.379;11;0.237;0.988;1.613
7.390;11;0.237;0.988;1.613
7.403;11;0.237;0.988;1.613
7.414;11;0.291;1.056;1.606
7.426;11;0.291;1.056;1.606
7.439;11;0.291;1.056;1.606
7.449;11;0.320;1.127;1.572
7.463;11;0.320;1.127;1.572
7.478;11;0.342;1.187;1.522
7.493;11;0.342;1.187;1.522
7.508;11;0.342;1.187;1.522
7.520;11;0.364;1.244;1.445
7.530;11;0.364;1.244;1.445
7.544;11;0.327;1.276;1.400
7.555;11;0.327;1.276;1.400
7.566;11;0.327;1.276;1.400
7.579;11;0.351;1.368;1.245
7.589;11;0.351;1.368;1.245
7.598;11;0.351;1.368;1.245
7.610;11;0.289;1.410;1.135
7.622;11;0.289;1.410;1.135
7.636;11;0.289;1.410;1.135
7.651;11;0.186;1.407;1.094
7.662;11;0.186;1.407;1.094
7.674;11;0.084;1.387;1.068
7.683;11;0.084;1.387;1.068
7.693;11;0.084;1.387;1.068
7.704;11;-0.038;1.398;0.976
7.716;11;-0.038;1.398;0.976
7.726;11;-0.038;1.398;0.976
7.736;11;-0.155;1.314;0.986
7.747;11;-0.155;1.314;0.986
7.756;11;-0.155;1.314;0.986
7.766;11;-0.155;1.314;0.986
7.777;11;-0.154;1.279;1.055
7.790;11;-0.154;1.279;1.055
7.810;11;-0.096;1.213;1.153
7.821;11;-0.096;1.213;1.153
