time;joint;pos_x;pos_y;poz_z
6.867;11;-0.022;0.620;1.561
6.880;11;-0.022;0.620;1.561
6.889;11;-0.022;0.620;1.561
6.896;11;0.032;0.611;1.619
6.905;11;0.032;0.611;1.619
6.913;11;0.032;0.611;1.619
6.921;11;0.032;0.611;1.619
6.929;11;0.105;0.684;1.676
6.936;11;0.105;0.684;1.676
6.943;11;0.105;0.684;1.676
6.951;11;0.105;0.684;1.676
6.958;11;0.105;0.684;1.676
6.965;11;0.172;0.775;1.727
6.972;11;0.172;0.775;1.727
6.979;11;0.172;0.775;1.727
6.991;11;0.172;0.775;1.727
7.001;11;0.240;0.828;1.761
7.008;11;0.240;0.828;1.761
7.019;11;0.240;0.828;1.761
7.026;11;0.260;0.863;1.762
7.033;11;0.260;0.863;1.762
7.040;11;0.260;0.863;1.762
7.047;11;0.260;0.863;1.762
7.054;11;0.300;0.872;1.772
7.061;11;0.300;0.872;1.772
7.068;11;0.300;0.872;1.772
7.075;11;0.300;0.872;1.772
7.089;11;0.317;0.892;1.767
7.098;11;0.317;0.892;1.767
7.112;11;0.317;0.892;1.767
7.122;11;0.349;0.888;1.739
7.129;11;0.349;0.888;1.739
7.137;11;0.349;0.888;1.739
7.144;11;0.349;0.888;1.739
7.152;11;0.349;0.888;1.739
7.160;11;0.378;0.886;1.719
7.167;11;0.378;0.886;1.719
7.174;11;0.378;0.886;1.719
7.182;11;0.378;0.886;1.719
7.191;11;0.390;0.885;1.707
7.198;11;0.390;0.885;1.707
7.205;11;0.390;0.885;1.707
7.211;11;0.390;0.885;1.707
7.218;11;0.390;0.885;1.707
7.225;11;0.393;0.896;1.660
7.232;11;0.393;0.896;1.660
7.239;11;0.393;0.896;1.660
7.246;11;0.393;0.896;1.660
7.253;11;0.393;0.896;1.660
7.262;11;0.385;0.910;1.615
7.269;11;0.385;0.910;1.615
7.276;11;0.385;0.910;1.615
7.283;11;0.385;0.910;1.615
7.296;11;0.398;0.916;1.546
7.305;11;0.398;0.916;1.546
7.313;11;0.398;0.916;1.546
7.321;11;0.376;0.945;1.492
7.329;11;0.376;0.945;1.492
7.336;11;0.376;0.945;1.492
7.343;11;0.376;0.945;1.492
7.349;11;0.376;0.945;1.492
7.358;11;0.350;0.951;1.431
7.366;11;0.350;0.951;1.431
7.374;11;0.350;0.951;1.431
7.382;11;0.350;0.951;1.431
7.392;11;0.336;0.932;1.355
7.399;11;0.336;0.932;1.355
7.406;11;0.336;0.932;1.355
7.413;11;0.336;0.932;1.355
7.430;11;0.318;0.918;1.282
7.437;11;0.318;0.918;1.282
7.447;11;0.318;0.918;1.282
7.458;11;0.318;0.918;1.282
7.465;11;0.284;0.911;1.195
7.472;11;0.284;0.911;1.195
7.479;11;0.284;0.911;1.195
7.486;11;0.284;0.911;1.195
7.493;11;0.269;0.937;1.172
7.500;11;0.269;0.937;1.172
7.507;11;0.269;0.937;1.172
7.514;11;0.269;0.937;1.172
7.523;11;0.267;0.955;1.122
7.531;11;0.267;0.955;1.122
7.538;11;0.267;0.955;1.122
7.545;11;0.267;0.955;1.122
7.553;11;0.267;0.955;1.122
7.561;11;0.336;1.028;1.112
7.570;11;0.336;1.028;1.112
7.576;11;0.336;1.028;1.112
7.587;11;0.336;1.028;1.112
7.594;11;0.384;1.129;1.128
7.604;11;0.384;1.129;1.128
7.614;11;0.384;1.129;1.128
7.624;11;0.199;1.116;0.892
7.639;11;0.199;1.116;0.892
7.647;11;0.199;1.116;0.892
7.654;11;0.199;1.116;0.892
7.662;11;0.151;1.144;0.835
7.669;11;0.151;1.144;0.835
