time;HipCenter; HipCenterCoordinates.x; HipCenterCoordinates.y; HipCenterCoordinates.z;Spine; SpineCoordinates.x; SpineCoordinates.y; SpineCoordinates.z;ShoulderCenter; ShoulderLeftCoordinates.x; ShoulderLeftCoordinates.y; ShoulderLeftCoordinates.zHead; HeadCoordinates.x; HeadCoordinates.y; HeadCoordinates.z;ShoulderLeft; ShoulderLeftCoordinates.x; ShoulderLeftCoordinates.y; ShoulderLeftCoordinates.z;ElbowLeft; ElbowLeftCoordinates.x; ElbowLeftCoordinates.y; ElbowLeftCoordinates.z;istLeft; WristLeftCoordinates.x; WristLeftCoordinates.y; WristLeftCoordinates.z;HandLeft; HandLeftCoordinates.x; HandLeftCoordinates.y; HandLeftCoordinates.z;ShoulderRight; ShoulderRightCoordinates.x; ShoulderRightCoordinates.y; ShoulderRightCoordinates.z;ElbowRight; ElbowRightCoordinates.x; ShoulderRightCoordinates.y; ShoulderRightCoordinates.z;WristRight; WristRightCoordinates.x; WristRightCoordinates.y; WristRightCoordinates.z;HandRight; WristRightCoordinates.x; WristRightCoordinates.y; WristRightCoordinates.z;HipLeft; HipLeftCoordinates.x; HipLeftCoordinates.y; HipLeftCoordinates.z;KneeLeft; KneeLeftCoordinates.x; KneeLeftCoordinates.y; KneeLeftCoordinates.z;AnkleLeft; AnkleLeftCoordinates.x; AnkleLeftCoordinates.y; AnkleLeftCoordinates.z;FootLeft; FootLeftCoordinates.x; FootLeftCoordinates.y; FootLeftCoordinates.z;HipRight; HipRightCoordinates.x; HipRightCoordinates.y; HipRightCoordinates.z;KneeRight; KneeRightCoordinates.x; KneeRightCoordinates.y; KneeRightCoordinates.z;AnkleRight; AnkleRightCoordinates.x; AnkleRightCoordinates.y; AnkleRightCoordinates.z;FootRight; FootRightCoordinates.x; FootRightCoordinates.y; FootRightCoordinates.z)
5.638;0;0.024;1.177;1.466;1;0.022;1.214;1.466;2;-0.136;1.371;1.489;3;-0.020;1.513;1.393;4;-0.136;1.371;1.489;5;-0.283;1.282;1.569;6;-0.369;1.154;1.568;7;-0.375;1.087;1.556;8;0.155;1.369;1.484;9;0.335;1.369;1.484;10;0.465;1.174;1.500;10;0.465;1.174;1.500;12;-0.039;1.113;1.462;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.093;1.113;1.467;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.666;0;0.024;1.179;1.467;1;0.022;1.215;1.467;2;-0.141;1.376;1.494;3;-0.020;1.513;1.394;4;-0.141;1.376;1.494;5;-0.285;1.290;1.571;6;-0.375;1.157;1.567;7;-0.382;1.091;1.555;8;0.156;1.370;1.485;9;0.336;1.370;1.485;10;0.472;1.177;1.499;10;0.472;1.177;1.499;12;-0.039;1.114;1.463;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.093;1.114;1.468;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.673;0;0.024;1.179;1.467;1;0.022;1.215;1.467;2;-0.141;1.376;1.494;3;-0.020;1.513;1.394;4;-0.141;1.376;1.494;5;-0.285;1.290;1.571;6;-0.375;1.157;1.567;7;-0.382;1.091;1.555;8;0.156;1.370;1.485;9;0.336;1.370;1.485;10;0.472;1.177;1.499;10;0.472;1.177;1.499;12;-0.039;1.114;1.463;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.093;1.114;1.468;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.680;0;0.024;1.179;1.467;1;0.022;1.215;1.467;2;-0.141;1.376;1.494;3;-0.020;1.513;1.394;4;-0.141;1.376;1.494;5;-0.285;1.290;1.571;6;-0.375;1.157;1.567;7;-0.382;1.091;1.555;8;0.156;1.370;1.485;9;0.336;1.370;1.485;10;0.472;1.177;1.499;10;0.472;1.177;1.499;12;-0.039;1.114;1.463;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.093;1.114;1.468;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.693;0;0.024;1.181;1.468;1;0.022;1.217;1.467;2;-0.143;1.378;1.495;3;-0.019;1.513;1.394;4;-0.143;1.378;1.495;5;-0.285;1.298;1.572;6;-0.380;1.160;1.566;7;-0.392;1.096;1.553;8;0.157;1.371;1.486;9;0.337;1.371;1.486;10;0.479;1.182;1.498;10;0.479;1.182;1.498;12;-0.040;1.115;1.464;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.094;1.115;1.468;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.700;0;0.024;1.181;1.468;1;0.022;1.217;1.467;2;-0.143;1.378;1.495;3;-0.019;1.513;1.394;4;-0.143;1.378;1.495;5;-0.285;1.298;1.572;6;-0.380;1.160;1.566;7;-0.392;1.096;1.553;8;0.157;1.371;1.486;9;0.337;1.371;1.486;10;0.479;1.182;1.498;10;0.479;1.182;1.498;12;-0.040;1.115;1.464;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.094;1.115;1.468;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.707;0;0.024;1.181;1.468;1;0.022;1.217;1.467;2;-0.143;1.378;1.495;3;-0.019;1.513;1.394;4;-0.143;1.378;1.495;5;-0.285;1.298;1.572;6;-0.380;1.160;1.566;7;-0.392;1.096;1.553;8;0.157;1.371;1.486;9;0.337;1.371;1.486;10;0.479;1.182;1.498;10;0.479;1.182;1.498;12;-0.040;1.115;1.464;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.094;1.115;1.468;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.715;0;0.024;1.181;1.468;1;0.022;1.217;1.467;2;-0.143;1.378;1.495;3;-0.019;1.513;1.394;4;-0.143;1.378;1.495;5;-0.285;1.298;1.572;6;-0.380;1.160;1.566;7;-0.392;1.096;1.553;8;0.157;1.371;1.486;9;0.337;1.371;1.486;10;0.479;1.182;1.498;10;0.479;1.182;1.498;12;-0.040;1.115;1.464;13;-0.072;0.858;1.470;14;-0.293;0.876;1.536;15;-0.095;0.763;1.451;16;0.094;1.115;1.468;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.721;0;0.024;1.183;1.468;1;0.022;1.218;1.467;2;-0.145;1.381;1.497;3;-0.019;1.513;1.394;4;-0.145;1.381;1.497;5;-0.284;1.305;1.573;6;-0.385;1.164;1.565;7;-0.399;1.102;1.552;8;0.157;1.373;1.487;9;0.339;1.373;1.487;10;0.484;1.186;1.498;10;0.484;1.186;1.498;12;-0.040;1.116;1.464;13;-0.071;0.858;1.471;14;-0.293;0.876;1.536;15;-0.109;0.757;1.457;16;0.094;1.116;1.469;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
5.728;0;0.024;1.183;1.468;1;0.022;1.218;1.467;2;-0.145;1.381;1.497;3;-0.019;1.513;1.394;4;-0.145;1.381;1.497;5;-0.284;1.305;1.573;6;-0.385;1.164;1.565;7;-0.399;1.102;1.552;8;0.157;1.373;1.487;9;0.339;1.373;1.487;10;0.484;1.186;1.498;10;0.484;1.186;1.498;12;-0.040;1.116;1.464;13;-0.071;0.858;1.471;14;-0.293;0.876;1.536;15;-0.109;0.757;1.457;16;0.094;1.116;1.469;17;0.122;0.873;1.449;18;0.363;0.911;1.470;19;0.241;0.832;1.491
