time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.zHead;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z)
16.046;0;0.000;0.000;0.000;1;0.000;0.000;0.000;2;0.000;0.000;0.000;3;0.000;0.000;0.000;4;0.000;0.000;0.000;5;0.000;0.000;0.000;6;0.000;0.000;0.000;7;0.000;0.000;0.000;8;0.000;0.000;0.000;9;0.000;0.000;0.000;10;0.000;0.000;0.000;10;0.000;0.000;0.000;12;0.000;0.000;0.000;13;0.000;0.000;0.000;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;0.000;0.000;0.000;17;0.000;0.000;0.000;18;0.000;0.000;0.000;19;0.000;0.000;0.000
16.059;0;0.000;0.000;0.000;1;0.000;0.000;0.000;2;0.000;0.000;0.000;3;0.000;0.000;0.000;4;0.000;0.000;0.000;5;0.000;0.000;0.000;6;0.000;0.000;0.000;7;0.000;0.000;0.000;8;0.000;0.000;0.000;9;0.000;0.000;0.000;10;0.000;0.000;0.000;10;0.000;0.000;0.000;12;0.000;0.000;0.000;13;0.000;0.000;0.000;14;0.000;0.000;0.000;15;0.000;0.000;0.000;16;0.000;0.000;0.000;17;0.000;0.000;0.000;18;0.000;0.000;0.000;19;0.000;0.000;0.000
16.079;0;-0.082;0.900;1.272;1;-0.073;0.947;1.290;2;-0.205;1.087;1.338;3;-0.102;1.367;1.265;4;-0.205;1.087;1.338;5;-0.286;0.964;1.458;6;-0.420;0.855;1.460;7;-0.510;0.843;1.402;8;0.057;1.080;1.229;9;0.161;1.080;1.229;10;0.288;0.833;1.177;10;0.288;0.833;1.177;12;-0.143;0.839;1.290;13;-0.445;0.843;1.442;14;-0.245;0.732;1.285;15;-0.301;0.721;1.240;16;-0.025;0.835;1.246;17;-0.253;0.792;1.344;18;0.000;0.000;0.000;19;-0.210;0.729;1.236
16.100;0;-0.082;0.900;1.272;1;-0.073;0.947;1.290;2;-0.205;1.087;1.339;3;-0.101;1.367;1.267;4;-0.205;1.087;1.339;5;-0.279;0.990;1.495;6;-0.423;0.883;1.459;7;-0.506;0.876;1.405;8;0.057;1.081;1.229;9;0.170;1.081;1.229;10;0.306;0.837;1.172;10;0.306;0.837;1.172;12;-0.143;0.839;1.290;13;-0.445;0.845;1.458;14;-0.246;0.734;1.286;15;-0.301;0.721;1.240;16;-0.025;0.835;1.246;17;-0.263;0.748;1.359;18;0.000;0.000;0.000;19;-0.201;0.729;1.242
16.110;0;-0.082;0.900;1.272;1;-0.073;0.947;1.290;2;-0.205;1.087;1.339;3;-0.101;1.367;1.267;4;-0.205;1.087;1.339;5;-0.279;0.990;1.495;6;-0.423;0.883;1.459;7;-0.506;0.876;1.405;8;0.057;1.081;1.229;9;0.170;1.081;1.229;10;0.306;0.837;1.172;10;0.306;0.837;1.172;12;-0.143;0.839;1.290;13;-0.445;0.845;1.458;14;-0.246;0.734;1.286;15;-0.301;0.721;1.240;16;-0.025;0.835;1.246;17;-0.263;0.748;1.359;18;0.000;0.000;0.000;19;-0.201;0.729;1.242
16.119;0;-0.082;0.900;1.272;1;-0.073;0.947;1.290;2;-0.205;1.087;1.339;3;-0.101;1.367;1.267;4;-0.205;1.087;1.339;5;-0.279;0.990;1.495;6;-0.423;0.883;1.459;7;-0.506;0.876;1.405;8;0.057;1.081;1.229;9;0.170;1.081;1.229;10;0.306;0.837;1.172;10;0.306;0.837;1.172;12;-0.143;0.839;1.290;13;-0.445;0.845;1.458;14;-0.246;0.734;1.286;15;-0.301;0.721;1.240;16;-0.025;0.835;1.246;17;-0.263;0.748;1.359;18;0.000;0.000;0.000;19;-0.201;0.729;1.242
16.129;0;-0.081;0.900;1.273;1;-0.072;0.947;1.291;2;-0.203;1.086;1.343;3;-0.100;1.368;1.271;4;-0.203;1.086;1.343;5;-0.276;1.000;1.509;6;-0.113;0.980;1.392;7;-0.054;0.971;1.353;8;0.057;1.081;1.229;9;0.196;1.081;1.229;10;0.326;0.831;1.163;10;0.326;0.831;1.163;12;-0.142;0.839;1.290;13;-0.444;0.846;1.469;14;-0.249;0.736;1.290;15;-0.301;0.721;1.240;16;-0.024;0.836;1.246;17;-0.269;0.719;1.369;18;0.000;0.000;0.000;19;-0.197;0.728;1.245
16.138;0;-0.081;0.900;1.273;1;-0.072;0.947;1.291;2;-0.203;1.086;1.343;3;-0.100;1.368;1.271;4;-0.203;1.086;1.343;5;-0.276;1.000;1.509;6;-0.113;0.980;1.392;7;-0.054;0.971;1.353;8;0.057;1.081;1.229;9;0.196;1.081;1.229;10;0.326;0.831;1.163;10;0.326;0.831;1.163;12;-0.142;0.839;1.290;13;-0.444;0.846;1.469;14;-0.249;0.736;1.290;15;-0.301;0.721;1.240;16;-0.024;0.836;1.246;17;-0.269;0.719;1.369;18;0.000;0.000;0.000;19;-0.197;0.728;1.245
16.148;0;-0.081;0.900;1.273;1;-0.072;0.947;1.291;2;-0.203;1.086;1.343;3;-0.100;1.368;1.271;4;-0.203;1.086;1.343;5;-0.276;1.000;1.509;6;-0.113;0.980;1.392;7;-0.054;0.971;1.353;8;0.057;1.081;1.229;9;0.196;1.081;1.229;10;0.326;0.831;1.163;10;0.326;0.831;1.163;12;-0.142;0.839;1.290;13;-0.444;0.846;1.469;14;-0.249;0.736;1.290;15;-0.301;0.721;1.240;16;-0.024;0.836;1.246;17;-0.269;0.719;1.369;18;0.000;0.000;0.000;19;-0.197;0.728;1.245
16.156;0;-0.081;0.900;1.273;1;-0.072;0.947;1.291;2;-0.203;1.086;1.343;3;-0.100;1.368;1.271;4;-0.203;1.086;1.343;5;-0.276;1.000;1.509;6;-0.113;0.980;1.392;7;-0.054;0.971;1.353;8;0.057;1.081;1.229;9;0.196;1.081;1.229;10;0.326;0.831;1.163;10;0.326;0.831;1.163;12;-0.142;0.839;1.290;13;-0.444;0.846;1.469;14;-0.249;0.736;1.290;15;-0.301;0.721;1.240;16;-0.024;0.836;1.246;17;-0.269;0.719;1.369;18;0.000;0.000;0.000;19;-0.197;0.728;1.245
